NodeID,x,y,z,phi,theta,psi,u,v,w,p,q,r,delta_e,delta_a,delta_r,duration,cost
0,0,0,-76.2,0,0,0,20,0,0,0,0,0,0,0,0,0,0
1,0.855182,0,-76.1941,0,0.0180442,0,19.9799,0,0.620849,0,0.837839,0,-0.37772,0,0,0.0427719,-0.815272
2,2.42396,0,-76.1656,0,0.0883978,0,19.8501,0,2.14815,0,0.927666,0,-0.0570769,0,0,0.0785352,-3.2296
3,4.24754,0,-76.1421,0,0.153384,0,19.6603,0,3.1108,0,0.474166,0,0.0259311,0,0,0.0914643,-7.46997
4,6.20338,0,-76.157,0,0.129326,0,19.6908,0,2.23864,0,-0.943606,0,0.203935,0,0,0.0984719,-13.648
5,7.47655,0,-76.1781,0,0.101343,0,19.6998,0,1.68683,0,0.080715,0,-0.354539,0,0,0.0643253,-21.0859
6,8.51149,0,-76.1938,0,0.102034,0,19.661,0,1.72701,0,-0.054775,0,0.00663886,0,0,0.0523966,-29.5941
7,9.97723,0,-76.2133,0,0.0975678,0,19.6164,0,1.68305,0,-0.0647018,0,-0.040698,0,0,0.0743629,-39.5636
8,10.7385,0,-76.2217,0,0.0843815,0,19.6106,0,1.46308,0,-0.614896,0,0.23744,0,0,0.0386917,-50.2764
9,12.4852,0,-76.2268,0,0.000376869,0,19.6289,0,0.158501,0,-1.24991,0,0.11817,0,0,0.0889187,-62.7453
10,14.2543,0,-76.1748,0,-0.18783,0,19.4681,0,-2.52793,0,-2.87244,0,0.380038,0,0,0.0901925,-76.9571
11,14.8846,0,-76.1283,0,-0.276454,0,19.2972,0,-3.64185,0,-2.62634,0,-0.0707246,0,0,0.0321881,-91.833
12,16.2151,0,-75.9545,0,-0.407408,0,19.124,0,-4.58992,0,-1.19306,0,-0.301595,0,0,0.0682975,-108.015
13,17.838,0,-75.5869,0,-0.444371,0,19.4838,0,-3.42562,0,0.299142,0,-0.237753,0,0,0.0844216,-125.825
14,18.0362,0,-75.5309,0,-0.441443,0,19.5488,0,-3.17219,0,0.262932,0,0.15097,0,0,0.0104076,-143.845
15,18.3136,0,-75.4489,0,-0.436796,0,19.6359,0,-2.82228,0,0.372933,0,-0.0694644,0,0,0.014591,-162.151
16,20.1712,0,-74.8184,0,-0.302434,0,20.0978,0,0.921538,0,2.29166,0,-0.342299,0,0,0.0982408,-182.283
17,20.7974,0,-74.5905,0,-0.237165,0,20.0876,0,2.24304,0,1.64771,0,0.322491,0,0,0.0330469,-203.047
18,22.0801,0,-74.1351,0,-0.172549,0,20.1174,0,3.22873,0,0.261045,0,0.308269,0,0,0.0670529,-225.092
19,23.5654,0,-73.6412,0,-0.199969,0,20.4157,0,2.30986,0,-0.96561,0,0.21896,0,0,0.0765031,-248.632
20,24.2419,0,-73.4236,0,-0.232353,0,20.5659,0,1.60854,0,-0.905092,0,-0.0787314,0,0,0.0345173,-272.864
21,25.795,0,-72.9166,0,-0.368927,0,20.8216,0,-0.878429,0,-2.52257,0,0.34923,0,0,0.0788081,-298.621
22,26.3537,0,-72.7224,0,-0.440049,0,20.8244,0,-2.0202,0,-2.49123,0,0.0158088,0,0,0.0283285,-324.971
23,26.8441,0,-72.5419,0,-0.49749,0,20.8051,0,-2.82397,0,-2.11091,0,-0.204598,0,0,0.0249354,-351.794
24,27.5046,0,-72.2797,0,-0.575267,0,20.7525,0,-3.80203,0,-2.48901,0,0.270302,0,0,0.0337653,-379.27
