NodeID,x,y,z,phi,theta,psi,u,v,w,p,q,r,delta_e,delta_a,delta_r,duration,cost
0,0,0,-100,0,0,0,20,0,0,0,0,0,0,0,0,0,1581.14
1,1.99917,0,-99.9628,0,-0.0903658,0,19.9685,0,-1.00362,0,-1.7866,0,0.344552,0,0,0.1,1571.64
2,3.99589,0,-99.8195,0,-0.168686,0,19.9963,0,-1.29133,0,0.229597,0,-0.343979,0,0,0.1,1562.09
3,5.99306,0,-99.5796,0,-0.229531,0,20.0858,0,-2.00586,0,-1.43944,0,0.342419,0,0,0.1,1552.49
4,7.9972,0,-99.2803,0,-0.293371,0,20.1716,0,-2.54951,0,0.179583,0,-0.347645,0,0,0.1,1542.83
5,10.0069,0,-98.9128,0,-0.204185,0,20.5399,0,-0.334405,0,1.56826,0,-0.31447,0,0,0.1,1533.1
6,12.0411,0,-98.5394,0,-0.147473,0,20.7939,0,0.525387,0,-0.458324,0,0.343876,0,0,0.1,1523.25
7,14.1049,0,-98.1937,0,-0.127098,0,21.0281,0,0.670009,0,0.869388,0,-0.335124,0,0,0.1,1513.28
8,16.1975,0,-97.8796,0,-0.144917,0,21.2636,0,-0.0840969,0,-1.21745,0,0.337986,0,0,0.1,1503.2
9,18.3126,0,-97.576,0,-0.18829,0,21.4352,0,-0.899757,0,0.372568,0,-0.346013,0,0,0.1,1493.02
10,20.4457,0,-97.2649,0,-0.0725756,0,21.6173,0,1.39804,0,1.90178,0,-0.347643,0,0,0.1,1482.75
11,22.6089,0,-97.0125,0,-0.00132261,0,21.7658,0,2.01501,0,-0.492586,0,0.342436,0,0,0.1,1472.38
12,24.7949,0,-96.833,0,-0.162441,0,21.9288,0,-1.79885,0,-2.6568,0,0.338865,0,0,0.1,1461.95
13,26.9877,0,-96.6067,0,-0.338458,0,21.5863,0,-4.52379,0,-0.803494,0,-0.310544,0,0,0.1,1451.47
14,29.1685,0,-96.2495,0,-0.314705,0,21.9788,0,-2.79949,0,1.24965,0,-0.332876,0,0,0.1,1440.96
15,31.3516,0,-95.8083,0,-0.290004,0,22.2999,0,-1.83753,0,-0.786057,0,0.341586,0,0,0.1,1430.39
16,33.549,0,-95.324,0,-0.270604,0,22.5937,0,-1.05737,0,1.16697,0,-0.348915,0,0,0.1,1419.72
17,35.7703,0,-94.8228,0,-0.268109,0,22.871,0,-1.10395,0,-1.12644,0,0.338092,0,0,0.1,1408.93
18,38.016,0,-94.3094,0,-0.280798,0,23.1254,0,-1.17986,0,0.884305,0,-0.346965,0,0,0.1,1398.02
19,40.2882,0,-93.7944,0,-0.100923,0,23.3205,0,2.45768,0,2.64063,0,-0.34059,0,0,0.1,1386.99
20,42.6145,0,-93.3975,0,0.0211108,0,23.4261,0,3.55774,0,-0.226393,0,0.316659,0,0,0.1,1375.78
21,44.9801,0,-93.1514,0,-0.145408,0,23.8358,0,-1.28611,0,-2.99866,0,0.347865,0,0,0.1,1364.5
22,47.3586,0,-92.8883,0,-0.328458,0,23.4924,0,-4.55669,0,-0.584359,0,-0.345117,0,0,0.1,1353.15
23,49.7244,0,-92.4974,0,-0.271431,0,23.9525,0,-2.10391,0,1.67629,0,-0.313941,0,0,0.1,1341.77
24,52.1003,0,-92.0507,0,-0.228951,0,24.2492,0,-1.07076,0,-0.860123,0,0.343329,0,0,0.1,1330.31
25,54.4975,0,-91.5977,0,-0.205909,0,24.495,0,-0.45965,0,1.31591,0,-0.340776,0,0,0.1,1318.75
26,56.9221,0,-91.1587,0,-0.210799,0,24.7235,0,-0.952877,0,-1.4113,0,0.339089,0,0,0.1,1307.08
27,59.3694,0,-90.7221,0,-0.237644,0,24.9046,0,-1.38702,0,0.893493,0,-0.336718,0,0,0.1,1295.3
28,61.8344,0,-90.2654,0,-0.284966,0,25.0416,0,-2.45901,0,-1.82498,0,0.349003,0,0,0.1,1283.44
29,64.3091,0,-89.7536,0,-0.332658,0,25.1824,0,-2.80747,0,0.890338,0,-0.348427,0,0,0.1,1271.49
30,66.7923,0,-89.1911,0,-0.119832,0,25.5079,0,2.29492,0,3.25059,0,-0.34721,0,0,0.1,1259.46
31,69.3338,0,-88.7604,0,0.0264344,0,25.561,0,3.84175,0,-0.364316,0,0.342792,0,0,0.1,1247.27
32,71.9145,0,-88.5138,0,-0.178617,0,25.897,0,-2.41264,0,-3.58571,0,0.348241,0,0,0.1,1235.04
33,74.5023,0,-88.2153,0,-0.389595,0,25.2702,0,-6.09833,0,-0.53907,0,-0.336296,0,0,0.1,1222.75
34,77.0596,0,-87.7315,0,-0.287579,0,26.0144,0,-2.02715,0,2.4859,0,-0.340171,0,0,0.1,1210.46
35,79.631,0,-87.2,0,-0.193745,0,26.3529,0,-0.0342506,0,-0.668501,0,0.3461,0,0,0.1,1198.07
36,82.2358,0,-86.7184,0,-0.136524,0,26.5809,0,0.916425,0,1.79847,0,-0.344835,0,0,0.1,1185.57
37,84.8805,0,-86.3212,0,-0.130111,0,26.8251,0,-0.0102938,0,-1.65347,0,0.34604,0,0,0.1,1172.96
38,87.5518,0,-85.9789,0,-0.166869,0,26.9636,0,-1.04629,0,0.951845,0,-0.331718,0,0,0.1,1160.28
39,90.239,0,-85.6377,0,-0.229439,0,27.009,0,-2.72675,0,-2.16908,0,0.344494,0,0,0.1,1147.54
40,92.9318,0,-85.2344,0,-0.287471,0,27.0574,0,-3.20187,0,1.02989,0,-0.345157,0,0,0.1,1134.73
41,95.6218,0,-84.7399,0,-0.331131,0,27.1602,0,-3.72082,0,-1.90099,0,0.339271,0,0,0.1,1121.87
42,98.3073,0,-84.142,0,-0.359947,0,27.3715,0,-3.24767,0,1.32397,0,-0.328254,0,0,0.1,1108.94
43,100.992,0,-83.4533,0,-0.381674,0,27.6263,0,-3.13379,0,-1.73888,0,0.33797,0,0,0.1,1095.93
44,103.658,0,-82.6138,0,-0.348808,0,28.0615,0,-0.439877,0,2.33104,0,-0.348287,0,0,0.1,1082.88
45,106.329,0,-81.694,0,-0.298786,0,28.3173,0,0.785265,0,-1.37942,0,0.333667,0,0,0.1,1069.73
46,109.027,0,-80.7744,0,-0.25591,0,28.5288,0,2.02975,0,2.21314,0,-0.346549,0,0,0.1,1056.47
47,111.768,0,-79.9039,0,-0.248639,0,28.7931,0,1.20351,0,-2.05545,0,0.346532,0,0,0.1,1043.05
48,114.542,0,-79.0626,0,-0.270434,0,29.0476,0,0.848935,0,1.64235,0,-0.336359,0,0,0.1,1029.5
49,117.339,0,-78.2192,0,-0.289992,0,29.2885,0,-0.0412363,0,-2.01772,0,0.304319,0,0,0.1,1015.86
50,120.152,0,-77.3439,0,-0.298019,0,29.5433,0,0.449185,0,1.85538,0,-0.326632,0,0,0.1,1002.11
51,122.984,0,-76.441,0,-0.32292,0,29.7968,0,-0.483792,0,-2.33749,0,0.344058,0,0,0.1,988.254
52,125.827,0,-75.4841,0,-0.340801,0,30.0849,0,0.00646724,0,1.97964,0,-0.342842,0,0,0.1,974.296
53,128.684,0,-74.4794,0,-0.352027,0,30.362,0,-0.464633,0,-2.20296,0,0.333371,0,0,0.1,960.235
54,131.553,0,-73.4225,0,-0.357429,0,30.6737,0,0.287845,0,2.08665,0,-0.329935,0,0,0.1,946.067
55,134.443,0,-72.332,0,-0.37117,0,30.9724,0,-0.438994,0,-2.35269,0,0.336984,0,0,0.1,931.775
56,137.348,0,-71.1929,0,-0.386313,0,31.3026,0,0.0741803,0,2.04924,0,-0.322853,0,0,0.1,917.368
57,140.271,0,-70.0137,0,-0.390854,0,31.6162,0,-0.35912,0,-2.14,0,0.305795,0,0,0.1,902.843
58,143.213,0,-68.7935,0,-0.384261,0,31.9572,0,0.621958,0,2.25567,0,-0.313971,0,0,0.1,888.19
59,146.187,0,-67.5591,0,-0.4021,0,32.2887,0,-0.502924,0,-2.59023,0,0.335164,0,0,0.1,873.38
60,149.183,0,-66.2813,0,-0.40356,0,32.6538,0,0.430674,0,2.547,0,-0.347282,0,0,0.1,858.433
61,152.208,0,-64.9834,0,-0.407416,0,32.9941,0,-0.357853,0,-2.61223,0,0.340838,0,0,0.1,843.334
62,155.257,0,-63.6513,0,-0.408712,0,33.3627,0,0.512905,0,2.57304,0,-0.336621,0,0,0.1,828.092
63,158.34,0,-62.3039,0,-0.426368,0,33.712,0,-0.747495,0,-2.89723,0,0.347776,0,0,0.1,812.686
64,161.441,0,-60.9043,0,-0.435868,0,34.1058,0,0.148266,0,2.69236,0,-0.34057,0,0,0.1,797.146
65,164.569,0,-59.4716,0,-0.448003,0,34.4664,0,-0.878124,0,-2.91271,0,0.343406,0,0,0.1,781.459
66,167.715,0,-57.9827,0,-0.441265,0,34.8845,0,0.53042,0,3.0136,0,-0.346441,0,0,0.1,765.637
67,170.901,0,-56.4848,0,-0.432901,0,35.255,0,-0.250071,0,-2.83015,0,0.333643,0,0,0.1,749.632
68,174.122,0,-54.9708,0,-0.42155,0,35.6476,0,0.964281,0,3.02685,0,-0.334051,0,0,0.1,733.456
69,177.394,0,-53.4752,0,-0.429668,0,36.0221,0,-0.555756,0,-3.14379,0,0.335988,0,0,0.1,717.066
70,180.7,0,-51.9531,0,-0.419585,0,36.4266,0,0.864621,0,3.30423,0,-0.347642,0,0,0.1,700.506
71,184.055,0,-50.4475,0,-0.418514,0,36.7947,0,-0.476576,0,-3.23936,0,0.340125,0,0,0.1,683.737
72,187.446,0,-48.9235,0,-0.407355,0,37.1912,0,0.969468,0,3.4161,0,-0.344173,0,0,0.1,666.798
73,190.891,0,-47.428,0,-0.400216,0,37.5479,0,-0.333469,0,-3.22697,0,0.328762,0,0,0.1,649.647
74,194.377,0,-45.9303,0,-0.372503,0,37.9203,0,1.53643,0,3.71394,0,-0.348602,0,0,0.1,632.312
75,197.931,0,-44.4965,0,-0.373085,0,38.2821,0,-0.431353,0,-3.64688,0,0.346307,0,0,0.1,614.73
76,201.523,0,-43.0582,0,-0.37415,0,38.6526,0,0.761354,0,3.57675,0,-0.341623,0,0,0.1,596.979
77,205.162,0,-41.6424,0,-0.385494,0,38.9836,0,-1.14069,0,-3.72308,0,0.339565,0,0,0.1,579.049
78,208.826,0,-40.1811,0,-0.367107,0,39.3853,0,1.04891,0,3.9989,0,-0.34835,0,0,0.1,560.976
79,212.545,0,-38.7585,0,-0.36667,0,39.725,0,-0.837272,0,-3.90066,0,0.348186,0,0,0.1,542.694
80,216.296,0,-37.3125,0,-0.356682,0,40.1085,0,0.998737,0,4.01414,0,-0.344231,0,0,0.1,524.266
81,220.101,0,-35.9125,0,-0.350523,0,40.4313,0,-0.742443,0,-3.80185,0,0.331332,0,0,0.1,505.652
82,223.942,0,-34.5036,0,-0.317105,0,40.7913,0,1.75702,0,4.35082,0,-0.347023,0,0,0.1,486.885
83,227.857,0,-33.19,0,-0.318745,0,41.1283,0,-0.807994,0,-4.24895,0,0.346716,0,0,0.1,467.895
84,231.803,0,-31.8644,0,-0.325487,0,41.4772,0,0.614959,0,4.02671,0,-0.331567,0,0,0.1,448.782
85,235.791,0,-30.5617,0,-0.355708,0,41.7643,0,-2.17929,0,-4.48234,0,0.346706,0,0,0.1,429.54
86,239.79,0,-29.1557,0,-0.337373,0,42.2179,0,0.894863,0,4.68515,0,-0.3477,0,0,0.1,410.194
87,243.842,0,-27.7914,0,-0.327114,0,42.5309,0,-1.0416,0,-4.34875,0,0.343959,0,0,0.1,390.696
88,247.925,0,-26.4055,0,-0.299745,0,42.9065,0,1.65752,0,4.73741,0,-0.342972,0,0,0.1,371.103
89,252.079,0,-25.1281,0,-0.290458,0,43.2204,0,-0.814147,0,-4.39083,0,0.330309,0,0,0.1,351.377
90,256.27,0,-23.8543,0,-0.268393,0,43.5585,0,1.61268,0,4.67455,0,-0.331928,0,0,0.1,331.596
91,260.527,0,-22.6861,0,-0.289658,0,43.8612,0,-1.87301,0,-4.88405,0,0.341415,0,0,0.1,311.77
92,264.809,0,-21.4508,0,-0.264417,0,44.2647,0,1.45678,0,5.17197,0,-0.34755,0,0,0.1,291.941
93,269.15,0,-20.3267,0,-0.229087,0,44.5152,0,-0.284785,0,-4.30622,0,0.318289,0,0,0.1,272.233
94,273.536,0,-19.262,0,-0.15881,0,44.7433,0,3.44023,0,5.47131,0,-0.348989,0,0,0.1,252.779
95,278.012,0,-18.4612,0,-0.150194,0,45.0694,0,-0.515077,0,-5.02396,0,0.333951,0,0,0.1,233.923
96,282.526,0,-17.7154,0,-0.125083,0,45.2981,0,2.09276,0,5.30404,0,-0.347859,0,0,0.1,215.991
97,287.087,0,-17.1422,0,-0.141707,0,45.5177,0,-1.90041,0,-5.3449,0,0.345882,0,0,0.1,199.832
98,291.497,0,-16.3073,0,-0.813764,0,39.7846,0,-20.8684,0,-7.28072,0,0.209559,0,0,0.1,185.913
99,295.432,0,-14.0636,0,-0.762434,0,44.8451,0,-5.00563,0,7.40673,0,-0.348971,0,0,0.1,172.092
100,299.171,0,-11.4056,0,-0.482881,0,45.1028,0,4.57247,0,-1.98534,0,0.302507,0,0,0.1,161.308
101,302.895,0,-8.85063,0,-1.10941,0,41.9735,0,-18.3612,0,-9.43773,0,0.344052,0,0,0.1,158.307
