NodeID,x,y,z,phi,theta,psi,u,v,w,p,q,r,delta_e,delta_a,delta_r,duration,cost
0,0,0,-100,0,0,0,20,0,0,0,0,0,0,0,0,0,229.129
1,1.99874,-8.69252e-05,-99.9668,-0.00579876,-0.03077,-0.00365449,19.9864,0.0704474,0.0460328,-0.117242,-0.616532,-0.0718216,0.113769,-0.0661921,0.00625922,0.1,227.372
2,3.99522,-0.00073052,-99.8605,-0.0259626,-0.129622,-0.00416188,19.9832,0.10068,-1.0575,-0.283308,-1.33764,0.0268685,0.147233,0.030724,-0.0862449,0.1,225.588
3,5.98689,-0.00132762,-99.6406,-0.0626468,-0.289665,-0.00454244,19.8849,0.269163,-2.81011,-0.454874,-1.82195,-0.170129,0.139173,-0.147637,0.0436363,0.1,223.761
4,7.96015,0.00168696,-99.2421,-0.0907981,-0.486207,-0.00505662,19.6705,0.587283,-4.59333,-0.120225,-2.05799,-0.134298,0.137103,0.0238637,0.11704,0.1,221.875
5,9.88709,0.0145056,-98.6058,-0.112411,-0.615269,0.00688144,19.8594,0.588765,-4.67208,-0.183607,-0.524011,0.0792657,-0.160534,0.0474976,-0.0299953,0.1,219.926
6,11.7503,0.0392192,-97.7364,-0.124917,-0.592893,0.021756,20.6305,0.181442,-2.28499,0.117075,0.892242,0.200336,-0.164695,0.0677826,0.0733068,0.1,217.932
7,13.5813,0.0700431,-96.7133,-0.129065,-0.540235,0.0307,21.2006,-0.217921,-0.254355,-0.0963139,0.0815083,0.0682171,0.165013,-0.0907835,-0.00992607,0.1,215.899
8,15.4189,0.0998862,-95.6096,-0.133134,-0.49419,0.0128663,21.6408,-0.119351,1.14725,-0.167467,0.846472,-0.245165,-0.134487,-0.160696,0.0866347,0.1,213.826
9,17.2918,0.120665,-94.4741,-0.133023,-0.478824,-0.0243755,22.0737,0.40311,1.45365,-0.182107,-0.470651,-0.35051,0.172833,-0.0871098,0.0694087,0.1,211.707
10,19.2083,0.125005,-93.3235,-0.16636,-0.483703,-0.0482948,22.5235,0.652826,1.40935,-0.710071,0.441583,-0.0653304,-0.166427,-0.000555706,-0.137761,0.1,209.541
11,21.1672,0.105659,-92.1568,-0.284226,-0.492796,-0.049578,22.9916,0.34952,1.12046,-1.64182,-0.613715,-0.0437216,0.122044,-0.159641,-0.153148,0.1,207.327
12,23.1633,0.0578093,-90.9654,-0.43084,-0.502487,-0.0544413,23.4534,0.0435422,1.01874,-1.33142,0.473104,-0.0756465,-0.170874,-0.020254,0.0724319,0.1,205.065
13,25.195,-0.0311933,-89.7492,-0.53263,-0.433171,-0.120551,23.7585,-0.132855,2.69165,-1.29921,1.27227,-0.305907,-0.144653,-0.153665,0.0942584,0.1,202.753
14,27.281,-0.2075,-88.5533,-0.668496,-0.404362,-0.171013,24.1311,-0.51402,2.75785,-1.80254,-0.28663,-0.213797,0.140791,-0.0294548,-0.156148,0.1,200.382
15,29.411,-0.49304,-87.3797,-0.801765,-0.406733,-0.207381,24.555,-0.800045,2.31526,-1.15479,0.721707,-0.287301,-0.174303,0.0661876,0.0469275,0.1,197.956
16,31.5674,-0.888614,-86.2057,-0.921492,-0.437267,-0.234464,25.0149,-0.671622,1.34414,-1.45185,-0.721448,-0.535922,0.135841,-0.0767376,-0.0773366,0.1,195.481
17,33.734,-1.37301,-84.9988,-1.04326,-0.475127,-0.253732,25.4571,-0.460499,0.7759,-1.16942,0.606803,-0.238409,-0.171924,0.16499,-0.10988,0.1,192.96
18,35.9011,-1.92626,-83.7348,-1.13801,-0.517641,-0.254823,25.9022,-0.240193,-0.103027,-0.738289,-0.960291,-0.547063,0.168362,-0.0600302,0.10563,0.1,190.397
19,38.064,-2.51925,-82.3923,-1.20273,-0.585579,-0.26975,26.3507,0.752099,-0.321844,-0.769726,0.683511,-0.723132,-0.170609,-0.118562,0.0834745,0.1,187.793
20,40.2176,-3.14001,-80.9585,-1.27697,-0.625255,-0.277873,26.8157,0.995817,-0.57773,-0.791092,-0.827344,-0.104214,0.164802,0.100006,-0.0504422,0.1,185.15
