NodeID,ParentID,x,y,z,cost,active
0,-1,0,0,-100,1581.14,1
1,0,1.99917,0,-99.9628,1571.64,0
2,1,3.99589,0,-99.8195,1562.09,0
3,2,5.99306,0,-99.5796,1552.49,0
4,3,7.9972,0,-99.2803,1542.83,0
5,4,10.0069,0,-98.9128,1533.1,0
6,5,12.0411,0,-98.5394,1523.25,0
7,6,14.1049,0,-98.1937,1513.28,1
8,7,16.1975,0,-97.8796,1503.2,0
9,8,18.3126,0,-97.576,1493.02,0
10,9,20.4457,0,-97.2649,1482.75,0
11,10,22.6089,0,-97.0125,1472.38,0
12,11,24.7949,0,-96.833,1461.95,0
13,12,26.9877,0,-96.6067,1451.47,0
14,13,29.1685,0,-96.2495,1440.96,1
15,14,31.3516,0,-95.8083,1430.39,0
16,15,33.549,0,-95.324,1419.72,0
17,16,35.7703,0,-94.8228,1408.93,0
18,17,38.016,0,-94.3094,1398.02,0
19,18,40.2882,0,-93.7944,1386.99,0
20,19,42.6145,0,-93.3975,1375.78,0
21,20,44.9801,0,-93.1514,1364.5,1
22,21,47.3586,0,-92.8883,1353.15,0
23,22,49.7244,0,-92.4974,1341.77,0
24,23,52.1003,0,-92.0507,1330.31,0
25,24,54.4975,0,-91.5977,1318.75,0
26,25,56.9221,0,-91.1587,1307.08,0
27,26,59.3694,0,-90.7221,1295.3,0
28,27,61.8344,0,-90.2654,1283.44,1
29,28,64.3091,0,-89.7536,1271.49,0
30,29,66.7923,0,-89.1911,1259.46,0
31,30,69.3338,0,-88.7604,1247.27,0
32,31,71.9145,0,-88.5138,1235.04,0
33,32,74.5023,0,-88.2153,1222.75,0
34,33,77.0596,0,-87.7315,1210.46,1
35,34,79.631,0,-87.2,1198.07,0
36,35,82.2358,0,-86.7184,1185.57,0
37,36,84.8805,0,-86.3212,1172.96,0
38,37,87.5518,0,-85.9789,1160.28,0
39,38,90.239,0,-85.6377,1147.54,0
40,39,92.9318,0,-85.2344,1134.73,1
41,40,95.6218,0,-84.7399,1121.87,0
42,41,98.3073,0,-84.142,1108.94,0
43,42,100.992,0,-83.4533,1095.93,0
44,43,103.658,0,-82.6138,1082.88,0
45,44,106.329,0,-81.694,1069.73,0
46,45,109.027,0,-80.7744,1056.47,1
47,46,111.768,0,-79.9039,1043.05,0
48,47,114.542,0,-79.0626,1029.5,0
49,48,117.339,0,-78.2192,1015.86,0
50,49,120.152,0,-77.3439,1002.11,0
51,50,122.984,0,-76.441,988.254,0
52,51,125.827,0,-75.4841,974.296,1
53,52,128.684,0,-74.4794,960.235,0
54,53,131.553,0,-73.4225,946.067,0
55,54,134.443,0,-72.332,931.775,0
56,55,137.348,0,-71.1929,917.368,0
57,56,140.271,0,-70.0137,902.843,1
58,57,143.213,0,-68.7935,888.19,0
59,58,146.187,0,-67.5591,873.38,0
60,59,149.183,0,-66.2813,858.433,0
61,60,152.208,0,-64.9834,843.334,0
62,61,155.257,0,-63.6513,828.092,1
63,62,158.34,0,-62.3039,812.686,0
64,63,161.441,0,-60.9043,797.146,0
65,64,164.569,0,-59.4716,781.459,0
66,65,167.715,0,-57.9827,765.637,0
67,66,170.901,0,-56.4848,749.632,1
68,67,174.122,0,-54.9708,733.456,0
69,68,177.394,0,-53.4752,717.066,0
70,69,180.7,0,-51.9531,700.506,0
71,70,184.055,0,-50.4475,683.737,0
72,71,187.446,0,-48.9235,666.798,1
73,72,190.891,0,-47.428,649.647,0
74,73,194.377,0,-45.9303,632.312,0
75,74,197.931,0,-44.4965,614.73,0
76,75,201.523,0,-43.0582,596.979,1
77,76,205.162,0,-41.6424,579.049,0
78,77,208.826,0,-40.1811,560.976,0
79,78,212.545,0,-38.7585,542.694,0
80,79,216.296,0,-37.3125,524.266,1
81,80,220.101,0,-35.9125,505.652,0
82,81,223.942,0,-34.5036,486.885,0
83,82,227.857,0,-33.19,467.895,0
84,83,231.803,0,-31.8644,448.782,1
85,84,235.791,0,-30.5617,429.54,0
86,85,239.79,0,-29.1557,410.194,0
87,86,243.842,0,-27.7914,390.696,0
88,87,247.925,0,-26.4055,371.103,1
89,88,252.079,0,-25.1281,351.377,0
90,89,256.27,0,-23.8543,331.596,0
91,90,260.527,0,-22.6861,311.77,0
92,91,264.809,0,-21.4508,291.941,1
93,92,269.15,0,-20.3267,272.233,0
94,93,273.536,0,-19.262,252.779,0
95,94,278.012,0,-18.4612,233.923,0
96,95,282.526,0,-17.7154,215.991,1
97,96,287.087,0,-17.1422,199.832,0
98,97,291.497,0,-16.3073,185.913,0
99,98,295.432,0,-14.0636,172.092,0
100,99,299.171,0,-11.4056,161.308,1
101,100,302.895,0,-8.85063,158.307,1
