NodeID,ParentID,x,y,z,cost,active
0,-1,0,0,-100,229.129,1
1,0,1.99881,-0.000300582,-99.9659,227.371,0
2,1,3.99497,-0.000725863,-99.8495,225.583,0
3,2,5.98373,0.00350315,-99.5989,223.747,0
4,3,7.94761,0.0273392,-99.1468,221.849,0
5,4,9.86879,0.0829082,-98.4791,219.901,0
6,5,11.763,0.156364,-97.656,217.912,0
7,6,13.6534,0.226979,-96.7334,215.882,1
8,7,15.5622,0.271371,-95.7566,213.808,0
9,8,17.5158,0.244689,-94.7866,211.683,0
10,9,19.5144,0.118196,-93.8442,209.508,0
11,10,21.547,-0.122357,-92.9236,207.287,0
12,11,23.5986,-0.473827,-92.0043,205.025,0
13,12,25.6573,-0.921955,-91.0615,202.722,0
14,13,27.7167,-1.43199,-90.0641,200.379,1
15,14,29.7745,-1.96793,-88.9883,197.997,0
16,15,31.8324,-2.49643,-87.8188,195.574,0
17,16,33.888,-3.01319,-86.551,193.111,0
18,17,35.9366,-3.53006,-85.1821,190.61,0
19,18,37.9743,-4.07172,-83.7165,188.07,0
20,19,40.0005,-4.65766,-82.1621,185.49,1
21,20,42.0132,-5.31045,-80.5265,182.87,0
22,21,44.0066,-6.02748,-78.8051,180.216,0
23,22,45.9771,-6.80753,-76.9959,177.53,0
24,23,47.9277,-7.65466,-75.1061,174.814,0
25,24,49.8627,-8.57166,-73.1431,172.068,0
26,25,51.7884,-9.53422,-71.1024,169.292,1
27,26,53.708,-10.5437,-68.9899,166.486,0
28,27,55.6198,-11.6163,-66.8123,163.655,0
29,28,57.5423,-12.7894,-64.6125,160.791,0
30,29,59.5293,-14.1905,-62.5339,157.876,0
31,30,61.6053,-15.7484,-60.5941,154.913,1
32,31,63.7712,-17.3894,-58.7543,151.901,0
33,32,66.1152,-19.0958,-57.1506,148.817,0
34,33,68.6327,-20.8028,-55.793,145.68,0
35,34,71.2831,-22.4393,-54.5466,142.488,0
36,35,74.1051,-23.918,-53.4361,139.231,1
37,36,77.0545,-25.2173,-52.3879,135.92,0
38,37,80.0822,-26.376,-51.3323,132.565,0
39,38,83.1318,-27.4933,-50.2117,129.174,0
40,39,86.1775,-28.605,-49.0019,125.756,0
41,40,89.2145,-29.7199,-47.6924,122.308,1
42,-1,92.2622,-30.7718,-46.2769,118.822,0
43,41,92.2619,-30.7737,-46.2767,118.822,0
44,43,95.3216,-31.7416,-44.7507,115.298,0
45,44,98.4049,-32.5899,-43.1208,111.732,0
46,45,101.507,-33.3295,-41.3927,108.13,0
47,46,104.63,-33.9375,-39.5718,104.496,1
48,-1,107.758,-34.4535,-37.6477,100.835,0
49,47,107.76,-34.4526,-37.6496,100.834,0
50,49,110.911,-34.8768,-35.6594,97.1452,0
51,50,114.098,-35.2335,-33.6345,93.4259,0
52,51,117.346,-35.4918,-31.6182,89.6761,1
53,52,120.621,-35.6931,-29.5554,85.9027,0
54,53,123.904,-35.781,-27.4286,82.1288,0
55,54,127.209,-35.7845,-25.2654,78.3515,0
56,55,130.449,-36.0384,-22.9336,74.5537,1
57,56,133.626,-36.5017,-20.4809,70.7614,0
58,57,136.809,-36.9378,-17.9512,66.9778,0
59,58,140.05,-37.1029,-15.3767,63.2199,0
60,59,143.298,-37.1058,-12.7503,59.5313,1
61,60,146.507,-37.4466,-10.0106,55.8505,0
62,61,149.693,-38.0129,-7.20658,52.2156,0
63,62,152.864,-38.6687,-4.33988,48.6727,0
64,63,156.082,-39.7152,-1.59645,45.1341,1
65,41,92.2603,-30.774,-46.273,118.822,1
66,41,92.2607,-30.7716,-46.2731,118.822,1
67,41,92.26,-30.7748,-46.2719,118.822,1
68,52,120.624,-35.6848,-29.5564,85.9015,1
69,68,123.927,-35.7706,-27.452,82.1171,1
70,41,92.2615,-30.7711,-46.275,118.822,1
71,41,92.2605,-30.7742,-46.2735,118.822,1
72,41,92.2613,-30.7751,-46.2745,118.821,1
73,41,92.2599,-30.7735,-46.272,118.822,1
74,41,92.2606,-30.7655,-46.2722,118.823,1
75,41,92.2615,-30.7717,-46.2744,118.822,1
76,41,92.2612,-30.7744,-46.2753,118.822,1
77,41,92.2617,-30.7719,-46.2752,118.822,1
78,41,92.2595,-30.7729,-46.271,118.822,1
79,41,92.2602,-30.771,-46.2728,118.823,1
80,41,92.2625,-30.7687,-46.277,118.822,1
81,47,107.76,-34.4561,-37.6519,100.834,1
82,41,92.2596,-30.7745,-46.2712,118.822,1
83,41,92.2608,-30.7726,-46.273,118.822,1
84,41,92.2604,-30.7746,-46.2727,118.822,1
85,41,92.2603,-30.7656,-46.2719,118.823,1
86,41,92.2607,-30.7705,-46.2737,118.823,1
87,41,92.2616,-30.7735,-46.2761,118.822,1
88,69,127.269,-35.7835,-25.3254,78.3154,1
89,41,92.2609,-30.7683,-46.2727,118.822,1
90,41,92.2617,-30.7581,-46.2732,118.823,1
91,41,92.2613,-30.7744,-46.2755,118.822,1
92,41,92.2616,-30.7657,-46.2746,118.823,1
93,41,92.2599,-30.7739,-46.2722,118.822,1
94,41,92.2607,-30.7721,-46.273,118.822,1
95,41,92.2602,-30.774,-46.2728,118.822,1
96,41,92.2607,-30.7718,-46.2736,118.822,1
97,41,92.2605,-30.7684,-46.2731,118.823,1
98,41,92.2613,-30.7755,-46.2752,118.822,1
99,41,92.2622,-30.773,-46.2763,118.822,1
100,41,92.2629,-30.7724,-46.2786,118.822,1
101,41,92.2599,-30.7713,-46.2719,118.822,1
102,41,92.2615,-30.773,-46.2752,118.822,1
103,41,92.2612,-30.7736,-46.274,118.822,1
104,41,92.2626,-30.7717,-46.2777,118.822,1
105,41,92.2611,-30.7727,-46.2737,118.822,1
106,41,92.2606,-30.7731,-46.2726,118.822,1
107,41,92.2613,-30.7668,-46.2736,118.822,1
108,41,92.2601,-30.7723,-46.2727,118.822,1
109,41,92.263,-30.7702,-46.2784,118.822,1
110,41,92.261,-30.7726,-46.2745,118.822,1
111,41,92.2611,-30.7712,-46.2739,118.822,1
112,69,127.267,-35.797,-25.3274,78.315,1
113,41,92.2617,-30.7694,-46.2746,118.822,1
114,41,92.2613,-30.7733,-46.2753,118.822,1
115,41,92.2602,-30.7753,-46.2723,118.822,1
116,112,130.628,-35.7913,-23.1577,74.5024,1
117,47,107.758,-34.4522,-37.6475,100.835,1
118,41,92.2619,-30.7613,-46.2747,118.823,1
119,41,92.2596,-30.7726,-46.2712,118.822,1
120,100,95.329,-31.7312,-44.7642,115.298,1
121,41,92.262,-30.7719,-46.2762,118.822,1
122,41,92.2596,-30.7727,-46.2713,118.822,1
123,41,92.2615,-30.772,-46.2752,118.822,1
124,41,92.2613,-30.7756,-46.2748,118.822,1
125,41,92.2606,-30.7746,-46.2736,118.822,1
126,120,98.4224,-32.6105,-43.1746,111.734,1
127,41,92.2619,-30.7756,-46.2768,118.822,1
128,112,130.632,-35.7927,-23.1664,74.5018,1
129,41,92.2631,-30.7598,-46.2767,118.823,1
130,41,92.2618,-30.7753,-46.2763,118.822,1
131,41,92.2619,-30.7732,-46.2759,118.822,1
132,41,92.2617,-30.7701,-46.275,118.822,1
133,112,130.629,-35.7951,-23.1604,74.5014,1
134,41,92.2616,-30.7748,-46.2759,118.822,1
135,41,92.2612,-30.7729,-46.2739,118.822,1
136,41,92.2601,-30.7726,-46.2727,118.822,1
137,41,92.261,-30.7696,-46.2731,118.822,1
138,41,92.2637,-30.7589,-46.2779,118.823,1
139,41,92.2619,-30.7721,-46.2759,118.822,1
140,41,92.2608,-30.7658,-46.2728,118.823,1
141,41,92.2619,-30.775,-46.2762,118.822,1
142,41,92.2604,-30.7751,-46.2733,118.822,1
143,41,92.2602,-30.774,-46.2725,118.822,1
144,41,92.2612,-30.7709,-46.2744,118.822,1
145,41,92.2598,-30.7746,-46.2718,118.822,1
146,41,92.2612,-30.7747,-46.2745,118.822,1
147,41,92.2611,-30.7738,-46.2749,118.822,1
148,112,130.631,-35.7831,-23.1679,74.5044,1
149,41,92.262,-30.7751,-46.2766,118.822,1
150,41,92.26,-30.7734,-46.2719,118.822,1
151,47,107.758,-34.4574,-37.6497,100.835,1
152,41,92.2619,-30.7654,-46.2755,118.823,1
153,41,92.2615,-30.7744,-46.2753,118.822,1
154,47,107.761,-34.4529,-37.6526,100.834,1
155,112,130.629,-35.7883,-23.1609,74.5036,1
156,41,92.2624,-30.7682,-46.2771,118.823,1
157,41,92.2607,-30.7751,-46.2737,118.822,1
158,41,92.2629,-30.7624,-46.2773,118.823,1
159,41,92.2621,-30.7706,-46.2768,118.822,1
160,41,92.2606,-30.7726,-46.2736,118.822,1
161,52,120.627,-35.6863,-29.5572,85.8991,1
162,41,92.2618,-30.7665,-46.2748,118.823,1
163,100,95.3304,-31.7251,-44.7607,115.296,1
164,41,92.2608,-30.7748,-46.2744,118.822,1
165,41,92.2612,-30.7671,-46.2737,118.823,1
166,41,92.2613,-30.7688,-46.2742,118.822,1
167,41,92.2605,-30.7739,-46.2731,118.822,1
168,41,92.2607,-30.7753,-46.2737,118.822,1
169,41,92.2598,-30.7679,-46.2714,118.823,1
170,126,101.516,-33.4798,-41.502,108.141,1
171,41,92.2622,-30.776,-46.2773,118.822,1
172,41,92.2607,-30.7628,-46.2724,118.823,1
173,41,92.26,-30.7734,-46.2725,118.822,1
174,41,92.2594,-30.7741,-46.2707,118.822,1
175,41,92.2605,-30.7707,-46.2723,118.822,1
176,112,130.63,-35.7836,-23.165,74.5047,1
177,41,92.2608,-30.7668,-46.2725,118.823,1
178,154,110.898,-34.8654,-35.6348,97.1499,1
179,120,98.4219,-32.6085,-43.1761,111.735,1
180,41,92.2628,-30.7752,-46.2784,118.822,1
181,41,92.2603,-30.7732,-46.2728,118.822,1
182,41,92.2609,-30.7718,-46.2739,118.822,1
183,41,92.2629,-30.7736,-46.2786,118.822,1
184,41,92.2607,-30.772,-46.2729,118.822,1
185,41,92.2602,-30.7676,-46.2725,118.823,1
186,41,92.2618,-30.7648,-46.2744,118.823,1
187,41,92.2599,-30.7725,-46.272,118.822,1
188,170,104.599,-34.304,-39.7089,104.52,1
189,41,92.2617,-30.7745,-46.2759,118.822,1
190,41,92.2595,-30.7742,-46.2712,118.822,1
191,41,92.2598,-30.7741,-46.272,118.822,1
192,41,92.2614,-30.7738,-46.2752,118.822,1
193,41,92.2598,-30.773,-46.2718,118.822,1
194,41,92.2615,-30.7705,-46.2753,118.822,1
195,41,92.261,-30.7741,-46.2736,118.822,1
196,41,92.262,-30.7682,-46.2754,118.822,1
197,41,92.2615,-30.7757,-46.2762,118.822,1
198,41,92.2605,-30.7681,-46.2729,118.823,1
199,188,107.684,-35.0039,-37.7999,100.876,1
200,112,130.628,-35.7913,-23.1581,74.5023,1
201,41,92.2605,-30.7726,-46.2729,118.822,1
202,41,92.2616,-30.7732,-46.275,118.822,1
203,41,92.2613,-30.7727,-46.2746,118.822,1
204,112,130.628,-35.7897,-23.1576,74.5028,1
205,41,92.261,-30.7746,-46.2741,118.822,1
206,41,92.2607,-30.7741,-46.273,118.822,1
207,41,92.2623,-30.7721,-46.277,118.822,1
208,41,92.2626,-30.7699,-46.2774,118.822,1
209,41,92.2607,-30.762,-46.2723,118.823,1
210,112,130.629,-35.7944,-23.1609,74.5017,1
211,41,92.2619,-30.7741,-46.2765,118.822,1
212,41,92.2622,-30.7677,-46.2767,118.823,1
213,41,92.2615,-30.7756,-46.2754,118.822,1
214,88,130.688,-35.6981,-23.2498,74.4933,1
215,41,92.2616,-30.7729,-46.276,118.822,1
216,41,92.2599,-30.7703,-46.2718,118.822,1
217,180,95.3242,-31.7559,-44.7615,115.297,1
218,170,104.599,-34.3034,-39.7097,104.521,1
219,41,92.2618,-30.7657,-46.2746,118.823,1
220,41,92.261,-30.7716,-46.274,118.822,1
221,199,110.783,-35.559,-35.7806,97.2036,1
222,41,92.2617,-30.767,-46.2743,118.822,1
223,41,92.2602,-30.7711,-46.2717,118.822,1
224,41,92.2601,-30.7738,-46.2725,118.822,1
225,112,130.628,-35.7935,-23.1583,74.5019,1
226,41,92.2611,-30.7647,-46.273,118.823,1
227,41,92.2606,-30.7739,-46.2727,118.822,1
228,41,92.2628,-30.7736,-46.2782,118.822,1
229,41,92.2616,-30.7727,-46.2753,118.822,1
230,41,92.2616,-30.7722,-46.275,118.822,1
231,180,95.3236,-31.7543,-44.7596,115.297,1
232,41,92.26,-30.7675,-46.2718,118.823,1
233,41,92.261,-30.7745,-46.2748,118.822,1
234,112,130.629,-35.7931,-23.1603,74.5022,1
235,41,92.2617,-30.7736,-46.2759,118.822,1
236,41,92.2617,-30.7719,-46.276,118.822,1
237,112,130.629,-35.7936,-23.1593,74.5021,1
238,112,130.631,-35.7968,-23.1634,74.5008,1
239,41,92.2628,-30.7746,-46.2783,118.822,1
240,41,92.2621,-30.7717,-46.2761,118.822,1
241,41,92.2611,-30.7742,-46.2746,118.822,1
242,41,92.2606,-30.7744,-46.2735,118.822,1
243,120,98.4228,-32.6069,-43.1755,111.734,1
244,26,53.7069,-10.5407,-68.9864,166.487,1
245,26,53.7066,-10.5423,-68.9874,166.487,1
246,26,53.7071,-10.5409,-68.9867,166.487,1
247,26,53.7076,-10.5454,-68.9908,166.487,1
248,218,107.679,-35.0128,-37.7944,100.877,1
249,26,53.7075,-10.5415,-68.9876,166.487,1
250,26,53.7077,-10.5467,-68.9919,166.487,1
251,60,146.506,-37.4387,-10.0028,55.8523,1
252,180,95.3236,-31.7587,-44.7651,115.299,1
253,26,53.7076,-10.5463,-68.9916,166.487,1
254,26,53.7073,-10.5435,-68.9891,166.487,1
255,26,53.7068,-10.54,-68.9858,166.487,1
256,56,133.621,-36.5122,-20.4721,70.7616,1
257,26,53.7083,-10.5405,-68.9876,166.486,1
258,26,53.707,-10.541,-68.9867,166.487,1
259,179,101.524,-33.4603,-41.5139,108.141,1
260,218,107.679,-35.0091,-37.7932,100.877,1
261,180,95.3246,-31.7562,-44.7644,115.298,1
262,26,53.7068,-10.5436,-68.9886,166.487,1
263,26,53.7067,-10.5409,-68.9865,166.487,1
264,26,53.7078,-10.5414,-68.9878,166.486,1
265,180,95.3213,-31.7623,-44.7629,115.299,1
266,26,53.7072,-10.5425,-68.9881,166.487,1
267,199,110.78,-35.5554,-35.775,97.2042,1
268,26,53.7081,-10.5404,-68.9872,166.486,1
269,26,53.708,-10.5409,-68.9876,166.486,1
270,26,53.7076,-10.5431,-68.989,166.487,1
271,26,53.708,-10.5415,-68.9881,166.486,1
272,26,53.7071,-10.5462,-68.9909,166.487,1
273,26,53.7072,-10.5414,-68.9873,166.487,1
274,26,53.7074,-10.5431,-68.9888,166.487,1
275,26,53.7068,-10.5405,-68.9862,166.487,1
276,26,53.7083,-10.5422,-68.989,166.486,1
277,26,53.7079,-10.5426,-68.9889,166.486,1
278,251,149.695,-37.9225,-7.17533,52.2293,1
279,26,53.7071,-10.5418,-68.9875,166.487,1
280,26,53.7076,-10.5436,-68.9894,166.487,1
281,26,53.7075,-10.5413,-68.9874,166.487,1
282,251,149.701,-37.9198,-7.18132,52.2256,1
283,26,53.708,-10.5426,-68.989,166.486,1
284,36,77.0534,-25.219,-52.3878,135.921,1
285,214,134.147,-35.5306,-21.1679,70.6688,1
286,199,110.78,-35.5568,-35.7781,97.2056,1
287,26,53.7071,-10.5411,-68.9869,166.487,1
288,26,53.708,-10.5423,-68.9887,166.486,1
289,26,53.7081,-10.5425,-68.989,166.486,1
290,26,53.7072,-10.5442,-68.9895,166.487,1
291,26,53.7071,-10.541,-68.9868,166.487,1
292,26,53.7082,-10.5425,-68.989,166.486,1
293,26,53.7073,-10.5429,-68.9885,166.487,1
294,26,53.7061,-10.542,-68.9867,166.487,1
295,26,53.7073,-10.5407,-68.9868,166.487,1
296,26,53.7071,-10.5416,-68.9873,166.487,1
297,26,53.708,-10.5408,-68.9876,166.486,1
298,26,53.7077,-10.5417,-68.988,166.486,1
299,26,53.7071,-10.5414,-68.9872,166.487,1
300,26,53.7066,-10.5463,-68.9905,166.487,1
301,26,53.7077,-10.5411,-68.9876,166.486,1
302,252,98.4073,-32.6721,-43.1763,111.739,1
303,26,53.7072,-10.542,-68.9878,166.487,1
304,26,53.7077,-10.5419,-68.9882,166.486,1
305,26,53.7072,-10.5413,-68.9872,166.487,1
306,31,63.7696,-17.3872,-58.75,151.901,1
307,26,53.707,-10.5469,-68.9914,166.487,1
308,26,53.7075,-10.5413,-68.9875,166.486,1
309,26,53.7086,-10.5407,-68.988,166.486,1
310,26,53.7072,-10.5413,-68.9872,166.487,1
311,26,53.7067,-10.5416,-68.9869,166.487,1
312,251,149.703,-37.9246,-7.18272,52.2229,1
313,251,149.698,-37.9175,-7.17927,52.2286,1
314,26,53.7075,-10.5409,-68.9871,166.486,1
315,26,53.7076,-10.5413,-68.9876,166.486,1
316,26,53.7073,-10.5403,-68.9865,166.486,1
317,26,53.7071,-10.5445,-68.9896,166.487,1
318,26,53.7065,-10.5412,-68.9864,166.487,1
319,26,53.7074,-10.5413,-68.9874,166.487,1
320,26,53.7072,-10.5435,-68.9889,166.487,1
321,26,53.707,-10.5398,-68.9858,166.487,1
322,26,53.7079,-10.5413,-68.9879,166.486,1
323,26,53.7067,-10.542,-68.9873,166.487,1
324,56,133.625,-36.5112,-20.4779,70.7599,1
325,26,53.7077,-10.545,-68.9906,166.487,1
326,285,137.615,-35.2827,-19.038,66.8651,1
327,251,149.698,-37.9237,-7.1778,52.2269,1
328,26,53.7073,-10.542,-68.9879,166.487,1
329,26,53.7082,-10.5408,-68.9877,166.486,1
330,26,53.7076,-10.5413,-68.9875,166.486,1
331,26,53.7075,-10.5477,-68.9925,166.487,1
332,285,137.614,-35.2822,-19.0347,66.8654,1
333,26,53.7076,-10.5421,-68.9882,166.487,1
334,26,53.7067,-10.5417,-68.9869,166.487,1
335,179,101.524,-33.465,-41.5197,108.143,1
336,26,53.7066,-10.5465,-68.9907,166.487,1
337,60,146.507,-37.445,-10.0103,55.8514,1
338,326,141.067,-35.0668,-16.7917,63.0723,1
339,26,53.7069,-10.5422,-68.9876,166.487,1
340,26,53.7069,-10.5404,-68.9862,166.487,1
341,26,53.7075,-10.5425,-68.9885,166.487,1
342,26,53.7073,-10.5445,-68.9898,166.487,1
343,26,53.7079,-10.541,-68.9877,166.486,1
344,26,53.7073,-10.5429,-68.9885,166.487,1
345,26,53.7075,-10.5455,-68.9908,166.487,1
