witness_x,witness_y,witness_z,witness_cost,rep_x,rep_y,rep_z,rep_cost
0,0,-76.2,0,0.855182,0,-76.1941,-0.815272
2.42396,0,-76.1656,inf,2.42396,0,-76.1656,-3.2296
4.24754,0,-76.1421,inf,4.24754,0,-76.1421,-7.46997
6.20338,0,-76.157,inf,6.20338,0,-76.157,-13.648
7.47655,0,-76.1781,inf,8.51149,0,-76.1938,-29.5941
9.97723,0,-76.2133,inf,10.7385,0,-76.2217,-50.2764
12.4852,0,-76.2268,inf,12.4852,0,-76.2268,-62.7453
14.2543,0,-76.1748,inf,14.8846,0,-76.1283,-91.833
16.2151,0,-75.9545,inf,16.2151,0,-75.9545,-108.015
17.838,0,-75.5869,inf,18.3136,0,-75.4489,-162.151
20.1712,0,-74.8184,inf,20.7974,0,-74.5905,-203.047
22.0801,0,-74.1351,inf,22.0801,0,-74.1351,-225.092
23.5654,0,-73.6412,inf,24.2419,0,-73.4236,-272.864
25.795,0,-72.9166,inf,26.8441,0,-72.5419,-351.794
27.5046,0,-72.2797,inf,27.5046,0,-72.2797,-379.27
28.66,0,-71.7527,inf,29.4297,0,-71.3404,-437.336
31.2046,0,-70.1419,inf,31.7466,0,-69.691,-500.269
32.1977,0,-69.2804,inf,32.1977,0,-69.2804,-532.45
33.6709,0,-67.7024,inf,33.6709,0,-67.7024,-566.099
34.6738,0,-66.4018,inf,34.9735,0,-65.971,-635.718
35.5608,0,-65.0589,inf,35.5608,0,-65.0589,-671.267
36.2458,0,-63.8676,inf,36.6709,0,-63.0527,-780.575
37.377,0,-61.5417,inf,37.377,0,-61.5417,-817.948
37.981,0,-60.0528,inf,37.981,0,-60.0528,-855.899
38.5646,0,-58.4805,inf,38.5646,0,-58.4805,-894.452
39.086,0,-57.0875,inf,39.086,0,-57.0875,-933.513
39.7504,0,-55.4261,inf,39.7504,0,-55.4261,-973.248
40.4831,0,-53.7635,inf,40.4831,0,-53.7635,-1013.71
41.1474,0,-52.4309,inf,41.1474,0,-52.4309,-1054.82
41.876,0,-51.1772,inf,41.876,0,-51.1772,-1096.66
42.6856,0,-49.9851,inf,43.3538,0,-49.0882,-1182.63
44.1486,0,-48.0482,inf,44.3519,0,-47.78,-1271.06
44.9491,0,-46.9802,inf,44.9491,0,-46.9802,-1315.98
46.4586,0,-44.7962,inf,46.4586,0,-44.7962,-1362.43
47.3761,0,-43.2616,inf,47.3761,0,-43.2616,-1409.77
48.4212,0,-41.3496,inf,48.9382,0,-40.4419,-1555.67
49.2852,0,-39.8787,inf,49.6515,0,-39.332,-1654.58
50.5848,0,-38.1535,inf,50.5848,0,-38.1535,-1705.15
52.6345,0,-36.3182,inf,52.9111,0,-36.1175,-1810.65
55.2295,0,-34.5763,inf,55.2295,0,-34.5763,-1865.84
56.2897,0,-33.9126,inf,57.3556,0,-33.2652,-1979.47
58.344,0,-32.6832,inf,58.7603,0,-32.4435,-2096.56
59.5473,0,-31.9998,inf,59.9083,0,-31.8007,-2215.96
62.4087,0,-30.555,inf,63.4379,0,-30.1553,-2341.75
64.3259,0,-29.8858,inf,64.3259,0,-29.8858,-2406.03
67.0888,0,-29.4951,inf,67.0888,0,-29.4951,-2473.1
69.535,0,-29.6511,inf,69.535,0,-29.6511,-2542.59
70.9749,0,-29.8803,inf,72.1821,0,-30.0866,-2685.7
73.1653,0,-30.2359,inf,73.1653,0,-30.2359,-2758.84
74.4686,0,-30.3771,inf,74.4686,0,-30.3771,-2833.27
77.2306,0,-30.3302,inf,77.2306,0,-30.3302,-2910.5
79.2248,0,-29.9355,inf,79.2248,0,-29.9355,-2989.68
81.6345,0,-29.16,inf,82.1505,0,-28.971,-3153.44
84.2352,0,-28.1713,inf,84.2352,0,-28.1713,-3237.64
86.4999,0,-27.3658,inf,87.1139,0,-27.1757,-3411.21
88.0273,0,-26.9158,inf,88.6258,0,-26.7609,-3587.82
91.571,0,-26.1752,inf,91.571,0,-26.1752,-3679.36
93.6994,0,-25.8286,inf,93.6994,0,-25.8286,-3773.04
95.1152,0,-25.5349,inf,95.1152,0,-25.5349,-3868.14
96.7739,0,-25.0425,inf,97.7959,0,-24.632,-4062.68
100.01,0,-23.4339,inf,100.01,0,-23.4339,-4162.67
101.679,0,-22.2442,inf,102.436,0,-21.6116,-4468.73
103.644,0,-20.4669,inf,103.644,0,-20.4669,-4572.34
105.376,0,-18.6512,inf,106.2,0,-17.8164,-4783.87
108.209,0,-16.1055,inf,108.209,0,-16.1055,-4892.07
110.5,0,-14.6754,inf,110.5,0,-14.6754,-5002.53
113.196,0,-13.2355,inf,113.196,0,-13.2355,-5115.7
115.235,0,-12.1347,inf,115.235,0,-12.1347,-5230.92
117.944,0,-10.636,inf,118.27,0,-10.4538,-5467.09
120.317,0,-9.32746,inf,120.317,0,-9.32746,-5587.39
122.782,0,-8.05945,inf,122.782,0,-8.05945,-5710.13
123.928,0,-7.54869,inf,123.928,0,-7.54869,-5834.03
126.713,0,-6.61728,inf,126.713,0,-6.61728,-5960.73
128.712,0,-6.1317,inf,129.917,0,-5.8526,-6219.33
133.103,0,-5.01568,inf,133.103,0,-5.01568,-6352.39
134.811,0,-4.56534,inf,135.846,0,-4.32714,-6623
138.526,0,-3.80463,inf,138.526,0,-3.80463,-6761.5
141.476,0,-3.17846,inf,141.476,0,-3.17846,-6902.97
144.176,0,-2.38312,inf,144.176,0,-2.38312,-7047.13
147.172,0,-1.15401,inf,147.974,0,-0.739069,-7342.23
149.179,0,-0.0137351,inf,149.515,0,0.216122,-7640.89
