witness_x,witness_y,witness_z,witness_cost,rep_x,rep_y,rep_z,rep_cost
0,0,-100,229.129,13.6534,0.226979,-96.7334,215.882
15.5622,0.271371,-95.7566,inf,27.7167,-1.43199,-90.0641,200.379
29.7745,-1.96793,-88.9883,inf,40.0005,-4.65766,-82.1621,185.49
42.0132,-5.31045,-80.5265,inf,51.7884,-9.53422,-71.1024,169.292
53.708,-10.5437,-68.9899,inf,61.6053,-15.7484,-60.5941,154.913
63.7712,-17.3894,-58.7543,inf,74.1051,-23.918,-53.4361,139.231
77.0545,-25.2173,-52.3879,inf,89.2145,-29.7199,-47.6924,122.308
92.2622,-30.7718,-46.2769,inf,104.63,-33.9375,-39.5718,104.496
107.758,-34.4535,-37.6477,inf,117.346,-35.4918,-31.6182,89.6761
120.621,-35.6931,-29.5554,inf,130.449,-36.0384,-22.9336,74.5537
133.626,-36.5017,-20.4809,inf,143.298,-37.1058,-12.7503,59.5313
146.507,-37.4466,-10.0106,inf,156.082,-39.7152,-1.59645,45.1341
92.2603,-30.774,-46.273,inf,92.2603,-30.774,-46.273,118.822
92.2607,-30.7716,-46.2731,inf,92.2607,-30.7716,-46.2731,118.822
92.26,-30.7748,-46.2719,inf,92.26,-30.7748,-46.2719,118.822
120.624,-35.6848,-29.5564,inf,120.624,-35.6848,-29.5564,85.9015
123.927,-35.7706,-27.452,inf,123.927,-35.7706,-27.452,82.1171
92.2615,-30.7711,-46.275,inf,92.2615,-30.7711,-46.275,118.822
92.2605,-30.7742,-46.2735,inf,92.2605,-30.7742,-46.2735,118.822
92.2613,-30.7751,-46.2745,inf,92.2613,-30.7751,-46.2745,118.821
92.2599,-30.7735,-46.272,inf,92.2599,-30.7735,-46.272,118.822
92.2606,-30.7655,-46.2722,inf,92.2606,-30.7655,-46.2722,118.823
92.2615,-30.7717,-46.2744,inf,92.2615,-30.7717,-46.2744,118.822
92.2612,-30.7744,-46.2753,inf,92.2612,-30.7744,-46.2753,118.822
92.2617,-30.7719,-46.2752,inf,92.2617,-30.7719,-46.2752,118.822
92.2595,-30.7729,-46.271,inf,92.2595,-30.7729,-46.271,118.822
92.2602,-30.771,-46.2728,inf,92.2602,-30.771,-46.2728,118.823
92.2625,-30.7687,-46.277,inf,92.2625,-30.7687,-46.277,118.822
107.76,-34.4561,-37.6519,inf,107.76,-34.4561,-37.6519,100.834
92.2596,-30.7745,-46.2712,inf,92.2596,-30.7745,-46.2712,118.822
92.2608,-30.7726,-46.273,inf,92.2608,-30.7726,-46.273,118.822
92.2604,-30.7746,-46.2727,inf,92.2604,-30.7746,-46.2727,118.822
92.2603,-30.7656,-46.2719,inf,92.2603,-30.7656,-46.2719,118.823
92.2607,-30.7705,-46.2737,inf,92.2607,-30.7705,-46.2737,118.823
92.2616,-30.7735,-46.2761,inf,92.2616,-30.7735,-46.2761,118.822
127.269,-35.7835,-25.3254,inf,127.269,-35.7835,-25.3254,78.3154
92.2609,-30.7683,-46.2727,inf,92.2609,-30.7683,-46.2727,118.822
92.2617,-30.7581,-46.2732,inf,92.2617,-30.7581,-46.2732,118.823
92.2613,-30.7744,-46.2755,inf,92.2613,-30.7744,-46.2755,118.822
92.2616,-30.7657,-46.2746,inf,92.2616,-30.7657,-46.2746,118.823
92.2599,-30.7739,-46.2722,inf,92.2599,-30.7739,-46.2722,118.822
92.2607,-30.7721,-46.273,inf,92.2607,-30.7721,-46.273,118.822
92.2602,-30.774,-46.2728,inf,92.2602,-30.774,-46.2728,118.822
92.2607,-30.7718,-46.2736,inf,92.2607,-30.7718,-46.2736,118.822
